measure,n,days,win_rate,pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top1,top3_share,top5_share,ex_top5_pnl,entry_policy,entry_rule,asset,variant,price_bin,status,exp_ci95,p_perm,day_var,holm_adj_p
gross,111,27,0.1261,7.1202,0.064146,7.4372,-1.0,7.4372,19.9744,-1.0,9.0,3.792,5.9583,-35.304,GRID,T-5,BTC,YES_OUTSIDER,"[0.10,0.15)",OK,"[-0.446447, 0.660073]",0.385807,36.988936,1.0
gross,88,24,0.1591,-7.2922,-0.082866,4.7648,-1.0,4.7648,31.8889,-1.0,5.6667,-2.217,-3.556,-33.2236,GRID,T-5,BTC,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.635973, 0.480636]",0.593703,24.365021,1.0
gross,67,27,0.2836,18.0071,0.268762,3.4741,-1.0,3.4741,13.0,-1.0,4.0,0.6532,1.071,-1.2787,GRID,T-5,BTC,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.299441, 1.003947]",0.182909,17.65518,1.0
gross,70,22,0.2286,-11.0367,-0.157667,2.6852,-1.0,2.6852,18.0257,-1.0,3.0,-0.7876,-1.3033,-25.4213,GRID,T-5,BTC,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.435593, 0.127169]",0.866567,4.61223,1.0
gross,65,20,0.2462,-15.0675,-0.231807,2.1208,-1.0,2.1208,20.1857,-1.0,2.3333,-0.4646,-0.7672,-26.6266,GRID,T-5,BTC,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.578321, 0.156954]",0.902049,7.275507,1.0
gross,59,24,0.4407,10.6567,0.180623,1.6791,-1.0,1.6791,5.0,-1.0,1.8571,0.5228,0.8639,1.4504,GRID,T-5,BTC,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.153449, 0.522338]",0.150425,4.176731,1.0
gross,101,25,0.4653,5.6227,0.055671,1.2686,-1.0,1.2686,14.6791,-1.0,1.5,0.8003,1.3339,-1.8773,GRID,T-5,BTC,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.140592, 0.243869]",0.275862,4.114127,1.0
gross,17,12,0.4706,-1.1524,-0.06779,0.9809,-1.0,0.9809,4.0392,-1.0,1.0,-2.6032,-4.3387,-6.1524,GRID,T-5,BTC,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.398125, 0.325786]",0.672664,0.748509,1.0
gross,1,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,GRID,T-5,BTC,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,,,,
gross,32,17,1.0,0.0451,0.001409,0.0014,0.0,,0.0,0.001,0.004,0.2226,0.356,0.029,GRID,T-5,DOGE,YES_FAVORITE,ABOVE_0.99,OK,"[0.001117, 0.001696]",0.0005,5e-06,0.1555
