feature,target_cohort,fold,n_train,n_val,auc,logloss,p_perm,p_holm
spread,native,F3,237629,111450,0.5315045597961829,0.5768699066489854,,
spread_pct,native,F3,237629,111450,0.5348165104922049,0.5596399944874892,,
spread_trend,native,F3,236275,110840,0.5417361470272283,0.5749528045428199,,
strike_gap_pct,native,F3,0,0,,,,
taker_buy_ratio,native,F3,237629,111450,0.4996436922230464,0.5771988529375018,,
time_left_min,native,F3,237629,111450,0.5,0.5769438922258966,,
time_phase,native,F3,237629,111450,0.5,0.5769438922258966,,
up_ratio_4,native,F3,237629,111450,0.4947110820188445,0.5770497478576223,,
velocity_x_phase,native,F3,237629,111450,0.5022943057522598,0.5770331925500651,,
vol_24,native,F3,237629,111450,0.48885633092803843,0.5783961171955629,,
vol_48,native,F3,237629,111450,0.5012660514584275,0.5773969920766543,,
vol_6,native,F3,237629,111450,0.494348005400238,0.5771565840856708,,
vol_ratio,native,F3,237629,111450,0.4922193294272077,0.5769576322089074,,
vol_trend,native,F3,237629,111450,0.4923062243256564,0.5769452038525575,,
vol_z_1,native,F3,237629,111450,0.5053978288776687,0.577141770559444,,
vol_z_6,native,F3,237629,111450,0.5112537807883142,0.57684186037353,,
volume_5min,native,F3,237629,111450,0.5,0.5769438922258966,,
volume_trend,native,F3,236961,111138,0.5,0.5762259354427961,,
alternation_rate_6,contract,F3,239094,112073,0.5197964688731598,0.694735151739357,,
bb_position,contract,F3,239094,112073,0.5245434939953845,0.6944154900916792,,
bb_width,contract,F3,239094,112073,0.49825194552276075,0.6957357863920526,,
body_to_range,contract,F3,239094,112073,0.5292626090447858,0.6943161989481307,,
consec_balance,contract,F3,239094,112073,0.5164253734780164,0.6953301410607126,,
consec_down,contract,F3,239094,112073,0.5194430869849143,0.6950523082118687,,
consec_up,contract,F3,239094,112073,0.5150936686566282,0.6952895713582192,,
consecutive_down,contract,F3,239094,112073,0.47902349770647273,0.6955607689063003,,
consecutive_up,contract,F3,239094,112073,0.5121933693348512,0.6951488998313835,,
cvd_1,contract,F3,239094,112073,0.49418029655132706,0.6977141401228313,,
cvd_6,contract,F3,239094,112073,0.5046671953871882,0.6952696105199063,,
cvd_trend,contract,F3,239094,112073,0.48948573711122545,0.6955304443165553,,
day_of_week,contract,F3,239094,112073,0.5103637386231958,0.6957579881333743,,
dev_sq_x_phase,contract,F3,239094,112073,0.5081277692576485,0.6953814989060211,,
deviation_x_time,contract,F3,239094,112073,0.5,0.6953998043838402,,
direction_lag_1,contract,F3,239094,112073,0.5144868906957216,0.6952225257076386,,
direction_lag_2,contract,F3,239094,112073,0.5097392598401236,0.6954531928605314,,
direction_lag_3,contract,F3,239094,112073,0.5198729737625507,0.6948216807114939,,
dist_to_high_24,contract,F3,239094,112073,0.4622820108662644,0.6957274760791304,,
dist_to_high_96,contract,F3,239094,112073,0.5437775641129206,0.6922847822268919,,
dist_to_low_24,contract,F3,239094,112073,0.5114197279124031,0.6952587806392946,,
