asset,hour_group_utc,weekday,entry_policy,variant,n,days,win_rate,net_pnl,expectancy
SOL,00-06,4,FUNNEL,NO_OUTSIDER,41,4,0.5122,4.4758,0.109166
SOL,00-06,4,FUNNEL,YES_FAVORITE,8,3,0.75,1.3012,0.162652
SOL,00-06,4,FUNNEL,YES_OUTSIDER,33,4,0.3939,-4.2296,-0.128169
SOL,00-06,4,GRID,YES_FAVORITE,133,4,0.6767,-18.2761,-0.137414
SOL,00-06,4,GRID,YES_OUTSIDER,110,4,0.2091,46.1916,0.419924
SOL,00-06,5,FUNNEL,NO_FAVORITE,17,4,0.5294,-1.8221,-0.107179
SOL,00-06,5,FUNNEL,NO_OUTSIDER,30,4,0.3667,-4.5924,-0.153079
SOL,00-06,5,FUNNEL,YES_FAVORITE,5,3,0.8,0.2417,0.048347
SOL,00-06,5,FUNNEL,YES_OUTSIDER,38,4,0.6053,11.6201,0.305793
SOL,00-06,5,GRID,YES_FAVORITE,89,4,0.809,7.4644,0.083869
SOL,00-06,5,GRID,YES_OUTSIDER,92,4,0.3696,24.913,0.270794
SOL,00-06,6,FUNNEL,NO_FAVORITE,8,3,0.625,-1.1754,-0.14692
SOL,00-06,6,FUNNEL,NO_OUTSIDER,27,3,0.5185,3.751,0.138925
SOL,00-06,6,FUNNEL,YES_FAVORITE,6,3,0.5,-1.7172,-0.286204
SOL,00-06,6,FUNNEL,YES_OUTSIDER,31,3,0.3548,-4.3765,-0.141177
SOL,00-06,6,GRID,YES_FAVORITE,64,3,0.7031,-4.552,-0.071125
SOL,00-06,6,GRID,YES_OUTSIDER,74,3,0.1892,-21.4474,-0.289829
SOL,06-12,0,FUNNEL,NO_FAVORITE,21,3,0.5714,-3.7011,-0.176241
SOL,06-12,0,FUNNEL,NO_OUTSIDER,19,3,0.2632,-6.8603,-0.361068
SOL,06-12,0,FUNNEL,YES_FAVORITE,4,2,0.25,-2.9899,-0.747475
SOL,06-12,0,FUNNEL,YES_OUTSIDER,28,3,0.4643,3.2755,0.116984
SOL,06-12,0,GRID,YES_FAVORITE,71,3,0.8169,3.4845,0.049077
SOL,06-12,0,GRID,YES_OUTSIDER,76,3,0.25,-8.5919,-0.113051
SOL,06-12,1,FUNNEL,NO_FAVORITE,22,4,0.6818,0.7541,0.034277
SOL,06-12,1,FUNNEL,NO_OUTSIDER,32,5,0.4688,0.2725,0.008514
SOL,06-12,1,FUNNEL,YES_FAVORITE,12,4,0.6667,0.7392,0.061598
SOL,06-12,1,FUNNEL,YES_OUTSIDER,30,5,0.4,-4.2811,-0.142702
SOL,06-12,1,GRID,YES_FAVORITE,77,5,0.7013,-5.6072,-0.072821
SOL,06-12,1,GRID,YES_OUTSIDER,89,5,0.1348,-46.9347,-0.527357
SOL,06-12,2,FUNNEL,NO_FAVORITE,29,5,0.5862,-0.9383,-0.032355
