decision_at,day,net,cumnet
2026-08-17 21:58:00+00:00,2026-08-17,7.517669906220457,100.01291215004012
2026-08-18 00:55:00+00:00,2026-08-18,-1.0,99.01291215004012
2026-08-18 01:13:00+00:00,2026-08-18,-1.0,98.01291215004012
2026-08-18 01:25:00+00:00,2026-08-18,-1.0,97.01291215004012
2026-08-18 02:55:00+00:00,2026-08-18,-1.0,96.01291215004012
2026-08-18 04:40:00+00:00,2026-08-18,-1.0,95.01291215004012
2026-08-18 04:40:00+00:00,2026-08-18,-1.0,94.01291215004012
2026-08-18 04:55:00+00:00,2026-08-18,-1.0,93.01291215004012
2026-08-18 05:55:00+00:00,2026-08-18,-1.0,92.01291215004012
2026-08-18 06:13:00+00:00,2026-08-18,2.2694376240342895,94.28234977407442
2026-08-18 07:40:00+00:00,2026-08-18,-1.0,93.28234977407442
2026-08-18 07:40:00+00:00,2026-08-18,-1.0,92.28234977407442
2026-08-18 08:55:00+00:00,2026-08-18,2.782505910165485,95.0648556842399
2026-08-18 08:58:00+00:00,2026-08-18,2.0625713961956738,97.12742708043558
2026-08-18 10:10:00+00:00,2026-08-18,-1.0,96.12742708043558
2026-08-18 10:25:00+00:00,2026-08-18,3.1059836499731057,99.23341073040869
2026-08-18 11:58:00+00:00,2026-08-18,-1.0,98.23341073040869
2026-08-18 12:40:00+00:00,2026-08-18,-1.0,97.23341073040869
2026-08-18 12:40:00+00:00,2026-08-18,-1.0,96.23341073040869
2026-08-18 12:55:00+00:00,2026-08-18,-1.0,95.23341073040869
2026-08-18 12:55:00+00:00,2026-08-18,3.289783451731357,98.52319418214005
2026-08-18 13:58:00+00:00,2026-08-18,-1.0,97.52319418214005
2026-08-18 14:55:00+00:00,2026-08-18,-1.0,96.52319418214005
2026-08-18 15:25:00+00:00,2026-08-18,-1.0,95.52319418214005
2026-08-18 15:40:00+00:00,2026-08-18,-1.0,94.52319418214005
2026-08-18 15:40:00+00:00,2026-08-18,-1.0,93.52319418214005
2026-08-18 16:25:00+00:00,2026-08-18,1.576210754649416,95.09940493678945
2026-08-18 16:55:00+00:00,2026-08-18,-1.0,94.09940493678945
2026-08-18 16:55:00+00:00,2026-08-18,-1.0,93.09940493678945
2026-08-18 17:25:00+00:00,2026-08-18,-1.0,92.09940493678945
2026-08-18 18:58:00+00:00,2026-08-18,-1.0,91.09940493678945
2026-08-18 19:05:00+00:00,2026-08-18,5.705648838581621,96.80505377537108
2026-08-18 21:25:00+00:00,2026-08-18,-1.0,95.80505377537108
2026-08-18 21:55:00+00:00,2026-08-18,-1.0,94.80505377537108
2026-08-18 22:58:00+00:00,2026-08-18,-1.0,93.80505377537108
2026-08-18 23:25:00+00:00,2026-08-18,-1.0,92.80505377537108
2026-08-19 00:28:00+00:00,2026-08-19,-1.0,91.80505377537108
2026-08-19 00:28:00+00:00,2026-08-19,-1.0,90.80505377537108
2026-08-19 00:40:00+00:00,2026-08-19,1.8807900278572398,92.68584380322832
2026-08-19 01:55:00+00:00,2026-08-19,-1.0,91.68584380322832
2026-08-19 01:55:00+00:00,2026-08-19,2.3839573350659187,94.06980113829424
