asset_phase,rank,variant,C,class_weight,sample_weight_mode,calibration,auc,ece,total_pnl,n_trades,win_rate,deployable,t1_pnl,t2_pnl,t3_pnl,median_window_pnl,rejection_reasons
SOL_contested,5,BASE,0.1,balanced,uniform,RAW,0.4966,0.0647,0.0,2186,0.4035,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,6,BASE,0.1,balanced,uniform,PLATT,0.4966,0.0647,0.0,2186,0.4035,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,7,BASE,0.1,balanced,time_decay,RAW,0.4899,0.0676,0.0,2310,0.4048,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,8,BASE,0.1,balanced,time_decay,PLATT,0.4899,0.0676,0.0,2310,0.4048,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,9,BASE,1.0,,uniform,RAW,0.4981,0.0073,0.0,1023,0.48,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
SOL_contested,10,BASE,1.0,,uniform,PLATT,0.4981,0.0073,0.0,1023,0.48,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
XRP,1,BASE,0.1,,uniform,RAW,0.6399,0.0059,0.0,2624,0.4512,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
XRP,2,BASE,0.1,,uniform,PLATT,0.6399,0.0059,0.0,2624,0.4512,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
XRP,3,BASE,0.1,,time_decay,RAW,0.6408,0.0105,0.0,2540,0.4339,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
XRP,4,BASE,0.1,,time_decay,PLATT,0.6408,0.0105,0.0,2540,0.4339,False,0.0,0.0,0.0,0.0,COMBINED PnL <= 0 (0.00); Median window PnL <= 0 (0.00)
